Canvass Unit ID,Segment Order,Route #,Route Segment #,Route Stop Range,Street Key,Street Display,Address Block,Street Side,Stop Count,Segment Color,Segment First Side,Segment Direction,Start Address,End Address
overlook ave::block3400-3499::sideodd::address_loop,17,1,17,27,overlook ave,Overlook Ave,3400-3499,odd,1,#31a354,odd,forward,3479 Overlook Ave,3479 Overlook Ave
overlook avese::block3400-3499::sideodd::address_loop,18,1,18,28-29,overlook avese,Overlook AveSE,3400-3499,odd,2,#756bb1,odd,reverse,3467 Overlook AveSE,3455 Overlook AveSE
evergreen se ave::block3700-3799::sideodd::address_loop,19,1,19,30,evergreen se ave,Evergreen SE Ave,3700-3799,odd,1,#636363,odd,forward,3727 Evergreen SE Ave,3727 Evergreen SE Ave
overlook se ave::block3400-3499::sideeven::address_loop,20,1,20,31,overlook se ave,Overlook SE Ave,3400-3499,even,1,#9edae5,even,forward,3410 Overlook SE Ave,3410 Overlook SE Ave
overlook avese::block3400-3499::sideeven::address_loop,21,1,21,32,overlook avese,Overlook AveSE,3400-3499,even,1,#1f77b4,even,forward,3430 Overlook AveSE,3430 Overlook AveSE
overlook avese::block3500-3599::sideeven::address_loop,22,1,22,33-34,overlook avese,Overlook AveSE,3500-3599,even,2,#ff7f0e,even,forward,3514 Overlook AveSE,3524 Overlook AveSE
ridgelawn avese::block3600-3699::sideodd::address_loop,23,1,23,35-36,ridgelawn avese,Ridgelawn AveSE,3600-3699,odd,2,#2ca02c,odd,reverse,3635 Ridgelawn AveSE,3613 Ridgelawn AveSE
ridgelawn ave::block3500-3599::sideodd::address_loop,24,1,24,37,ridgelawn ave,Ridgelawn Ave Apt Basm,3500-3599,odd,1,#d62728,odd,forward,3591 Ridgelawn Ave Apt Basm,3591 Ridgelawn Ave Apt Basm
ridgelawn avese::block3500-3599::sideodd::address_loop,25,1,25,38-39,ridgelawn avese,Ridgelawn AveSE,3500-3599,odd,2,#9467bd,odd,reverse,3579 Ridgelawn AveSE,3569 Ridgelawn AveSE
ridgelawn se ave::block3500-3599::sideodd::address_loop,26,1,26,40,ridgelawn se ave,Ridgelawn SE Ave,3500-3599,odd,1,#8c564b,odd,forward,3519 Ridgelawn SE Ave,3519 Ridgelawn SE Ave
evergreen ave::block3700-3799::sideodd::address_loop,27,1,27,41,evergreen ave,Evergreen Ave,3700-3799,odd,1,#e377c2,odd,forward,3751 Evergreen Ave,3751 Evergreen Ave
ridgelawn se ave::block3500-3599::sideeven::address_loop,28,1,28,42,ridgelawn se ave,Ridgelawn SE Ave,3500-3599,even,1,#17becf,even,forward,3530 Ridgelawn SE Ave,3530 Ridgelawn SE Ave
ridgelawn ave::block3500-3599::sideeven::address_loop,29,1,29,43,ridgelawn ave,Ridgelawn Ave,3500-3599,even,1,#bcbd22,even,forward,3556 Ridgelawn Ave,3556 Ridgelawn Ave
ridgelawn avese::block3600-3699::sideeven::address_loop,30,1,30,44,ridgelawn avese,Ridgelawn AveSE,3600-3699,even,1,#393b79,even,forward,3600 Ridgelawn AveSE,3600 Ridgelawn AveSE
curtis avese::block3500-3599::sideodd::address_loop,31,1,31,45,curtis avese,Curtis AveSE,3500-3599,odd,1,#637939,odd,forward,3533 Curtis AveSE,3533 Curtis AveSE
curtis avese::block3500-3599::sideeven::address_loop,32,1,32,46,curtis avese,Curtis AveSE,3500-3599,even,1,#8c6d31,even,forward,3532 Curtis AveSE,3532 Curtis AveSE
deforest rdse::block1300-1399::sideeven::address_loop,33,1,33,47-57,deforest rdse,Deforest RdSE,1300-1399,even,11,#843c39,even,forward,1300 Deforest RdSE,1398 Deforest RdSE
boston avese::block3800-3899::sideodd::address_loop,34,1,34,58,boston avese,Boston AveSE,3800-3899,odd,1,#7b4173,odd,forward,3831 Boston AveSE,3831 Boston AveSE
boston avese::block3900-3999::sideodd::address_loop,35,1,35,59-60,boston avese,Boston AveSE,3900-3999,odd,2,#3182bd,odd,forward,3917 Boston AveSE,3929 Boston AveSE
deforest rd::block1300-1399::sideeven::address_loop,36,1,36,61,deforest rd,Deforest Rd,1300-1399,even,1,#e6550d,even,forward,1348 Deforest Rd,1348 Deforest Rd
deforest rd::block1200-1299::sideeven::address_loop,37,1,37,62,deforest rd,Deforest Rd,1200-1299,even,1,#31a354,even,forward,1286 Deforest Rd,1286 Deforest Rd
deforest rd pole::block1300-1399::sideeven::address_loop,38,1,38,63,deforest rd pole,Deforest Rd  Pole,1300-1399,even,1,#756bb1,even,forward,1336 Deforest Rd  Pole,1336 Deforest Rd  Pole
deforest rdse::block1300-1399::sideodd::address_loop,39,1,39,64-69,deforest rdse,Deforest RdSE,1300-1399,odd,6,#636363,odd,reverse,1399 Deforest RdSE,1301 Deforest RdSE
deforest rdse::block1200-1299::sideeven::address_loop,40,1,40,70,deforest rdse,Deforest RdSE,1200-1299,even,1,#9edae5,even,forward,1282 Deforest RdSE,1282 Deforest RdSE
